trade_date,沪深300指数,京沪高铁,申通地铁,广深铁路,复星医药,药明康德
2025-03-11,3941.4157,5.63,8.16,3.02,24.9,61.63
2025-03-12,3927.2315,5.62,8.19,3.04,24.68,61.59
2025-03-13,3911.5793,5.6,8.16,3.04,24.53,61.1
2025-03-14,4006.5567,5.66,8.3,3.08,25.03,63.91
2025-03-17,3996.7876,5.59,8.64,3.09,24.96,64.03
2025-03-18,4007.7229,5.55,8.52,3.11,25.09,69.68
2025-03-19,4010.168,5.57,8.47,3.09,25.01,70.0
2025-03-20,3974.9918,5.56,8.49,3.09,24.95,69.57
2025-03-21,3914.6956,5.52,8.49,3.08,24.5,66.98
2025-03-24,3934.8486,5.51,8.31,3.06,24.51,67.36
2025-03-25,3932.2951,5.57,8.32,3.09,24.75,66.59
2025-03-26,3919.3566,5.55,8.4,3.07,24.55,65.74
2025-03-27,3932.4117,5.6,8.3,3.08,24.99,68.0
2025-03-28,3915.1662,5.62,8.13,2.95,25.31,67.79
2025-03-31,3887.3056,5.57,7.98,2.91,24.83,67.32
2025-04-01,3887.6841,5.64,8.1,2.9,25.75,68.23
2025-04-02,3884.3858,5.65,8.07,2.9,25.46,66.05
2025-04-03,3861.5034,5.71,8.13,2.93,25.51,63.52
2025-04-07,3589.4406,5.57,7.32,2.74,23.2,57.17
2025-04-08,3650.759,5.84,7.37,2.84,23.7,51.61
2025-04-09,3686.7943,6.04,7.65,2.89,23.68,51.25
2025-04-10,3735.1151,5.96,7.74,2.88,23.92,52.3
2025-04-11,3750.5167,5.84,7.75,2.89,23.84,52.1
2025-04-14,3759.1422,5.82,7.86,2.89,23.95,53.11
2025-04-15,3761.2348,5.84,7.81,2.87,24.0,52.58
2025-04-16,3772.8204,6.1,7.8,2.89,24.0,52.36
2025-04-17,3772.2221,6.05,7.85,2.88,23.95,52.51
2025-04-18,3772.523,5.97,7.9,2.88,23.88,52.85
2025-04-21,3784.8806,5.91,7.89,2.89,23.9,53.89
2025-04-22,3783.9522,5.9,7.98,2.89,24.4,54.55
2025-04-23,3786.8824,5.88,8.01,2.88,24.19,56.22
2025-04-24,3784.3574,5.95,8.06,2.87,24.2,56.42
2025-04-25,3786.9937,5.82,8.09,2.9,24.14,57.36
2025-04-28,3781.6188,5.84,7.88,2.93,23.95,58.09
2025-04-29,3775.0767,5.85,7.94,2.96,23.82,60.45
2025-04-30,3770.5705,5.81,7.84,2.94,23.4,59.17
2025-05-06,3808.5424,5.77,7.99,2.95,23.69,60.34
2025-05-07,3831.627,5.91,8.18,2.96,23.81,58.25
2025-05-08,3852.8963,5.94,8.16,2.96,23.83,58.98
2025-05-09,3846.1566,5.96,8.17,2.96,23.52,59.06
2025-05-12,3890.6096,5.97,8.18,2.97,23.59,59.41
2025-05-13,3896.2583,5.92,8.12,2.98,23.94,59.86
2025-05-14,3943.2108,6.01,8.12,2.99,23.91,61.03
2025-05-15,3907.1992,6.02,8.12,2.99,23.77,61.39
2025-05-16,3889.0854,6.01,8.09,2.96,24.02,61.36
2025-05-19,3877.1453,5.99,8.22,2.98,23.83,61.05
2025-05-20,3898.1705,5.95,8.2,2.98,24.07,62.66
2025-05-21,3916.3807,5.95,8.21,2.99,24.18,62.05
2025-05-22,3913.8651,6.01,8.2,2.99,23.95,62.79
2025-05-23,3882.2741,5.87,8.03,2.96,23.93,62.05
2025-05-26,3860.1067,5.89,8.19,3.0,23.51,61.67
2025-05-27,3839.3969,5.89,8.19,3.01,23.63,62.2
2025-05-28,3836.2366,5.88,8.12,3.02,23.53,61.65
2025-05-29,3858.6998,5.9,8.93,3.05,24.11,64.7
2025-05-30,3840.2323,5.86,9.18,3.04,25.37,63.51
2025-06-03,3852.0127,5.88,8.5,3.04,25.27,64.47
